"07938: Personer med helse- og sosialfaglig utdanning. 4. kvartal, etter statistikkvariabel, fagutdanning, alder, kjønn og år"

"statistikkvariabel";"fagutdanning";"alder";"kjønn";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Sysselsatte";"Hjelpepleier";"15-74 år";"Kvinner";69743;69156;67442;65223;62585;59997;57268;54807;52116;49449;46694;44059;40960;38635;36405;34280
"Sysselsatte";"Hjelpepleier";"15-74 år";"Menn";4722;4763;4681;4540;4384;4213;4106;3893;3747;3616;3429;3262;3086;2952;2830;2694
"Sysselsatte";"Hjelpepleier";"40-54 år";"Kvinner";30421;29884;28748;27520;26164;24779;23277;21760;20444;19167;17898;16798;15706;14719;13827;12836
"Sysselsatte";"Hjelpepleier";"40-54 år";"Menn";2386;2389;2318;2216;2132;2041;1970;1804;1724;1603;1535;1409;1302;1216;1090;978
"Sysselsatte";"Hjelpepleier";"55-66 år";"Kvinner";18149;19110;20082;20900;21405;21577;21612;21235;20667;20062;19278;18487;17410;16525;15712;14866
"Sysselsatte";"Hjelpepleier";"55-66 år";"Menn";870;931;1046;1161;1229;1287;1306;1325;1336;1373;1339;1356;1336;1315;1311;1288
"Sysselsatte";"Helsefagarbeider";"Alle aldre";"Kvinner";0;223;1042;3137;5528;9762;13070;16061;19538;22591;24837;27713;30297;33184;35659;38023
"Sysselsatte";"Helsefagarbeider";"Alle aldre";"Menn";0;31;153;427;777;1276;1755;2075;2702;3310;3707;4396;5117;5978;6783;7571
"Sysselsatte";"Helsefagarbeider";"15-39 år";"Kvinner";0;76;469;1783;3071;4995;6731;8422;10532;12322;13591;15203;16820;18449;19766;20786
"Sysselsatte";"Helsefagarbeider";"15-39 år";"Menn";0;9;84;275;513;813;1128;1277;1667;2018;2155;2473;2884;3351;3733;4063
"Sysselsatte";"Helsefagarbeider";"15-66 år";"Kvinner";0;222;1040;3134;5522;9746;13033;16001;19428;22426;24631;27466;30007;32835;35238;37500
"Sysselsatte";"Helsefagarbeider";"15-66 år";"Menn";0;31;153;427;777;1275;1752;2072;2698;3306;3697;4384;5102;5959;6755;7533
"Sysselsatte";"Helsefagarbeider";"15-74 år";"Kvinner";0;223;1042;3137;5528;9762;13067;16056;19533;22587;24830;27707;30290;33178;35648;38008
"Sysselsatte";"Helsefagarbeider";"15-74 år";"Menn";0;31;153;427;777;1276;1755;2075;2702;3310;3707;4396;5117;5978;6783;7571
"Sysselsatte";"Helsefagarbeider";"40-54 år";"Kvinner";0;119;468;1092;1924;3278;4322;5184;6052;6829;7416;8231;8800;9579;10295;11143
"Sysselsatte";"Helsefagarbeider";"40-54 år";"Menn";0;18;58;124;215;374;495;638;798;1003;1204;1491;1696;1984;2266;2598
"Sysselsatte";"Helsefagarbeider";"55-66 år";"Kvinner";0;27;103;259;527;1473;1980;2395;2844;3275;3624;4032;4387;4807;5177;5571
"Sysselsatte";"Helsefagarbeider";"55-66 år";"Menn";0;4;11;28;49;88;129;157;233;285;338;420;522;624;756;872
"Sysselsatte";"Omsorgsarbeider";"Alle aldre";"Kvinner";16498;16643;16555;16379;15663;13832;12796;12071;11365;10277;9550;9016;8467;8109;7704;7330
"Sysselsatte";"Omsorgsarbeider";"Alle aldre";"Menn";936;966;993;979;961;915;873;822;792;722;691;655;636;612;594;581
"Sysselsatte";"Omsorgsarbeider";"15-39 år";"Kvinner";7571;7373;7043;6626;6050;5253;4525;3869;3243;2625;2100;1658;1333;1038;774;583
"Sysselsatte";"Omsorgsarbeider";"15-39 år";"Menn";496;482;473;441;405;365;310;264;222;177;136;103;80;66;50;43
"Sysselsatte";"Omsorgsarbeider";"15-66 år";"Kvinner";16402;16500;16363;16169;15419;13518;12484;11668;10953;9859;9132;8616;8092;7714;7279;6877
"Sysselsatte";"Omsorgsarbeider";"15-66 år";"Menn";936;966;991;977;959;911;869;815;782;711;679;640;619;594;576;560
"Sysselsatte";"Omsorgsarbeider";"15-74 år";"Kvinner";16498;16642;16553;16375;15660;13829;12787;12047;11341;10252;9519;8980;8431;8061;7637;7257
"Sysselsatte";"Omsorgsarbeider";"15-74 år";"Menn";936;966;993;979;961;915;873;822;792;722;691;655;636;612;594;581
"Sysselsatte";"Omsorgsarbeider";"40-54 år";"Kvinner";6141;6215;6205;6194;6020;5493;5343;5305;5277;4927;4796;4740;4535;4403;4261;4082
"Sysselsatte";"Omsorgsarbeider";"40-54 år";"Menn";370;392;419;429;439;432;438;416;428;395;400;394;388;370;357;325
"Sysselsatte";"Omsorgsarbeider";"55-66 år";"Kvinner";2690;2912;3115;3349;3349;2772;2616;2494;2433;2307;2236;2218;2224;2273;2244;2212
"Sysselsatte";"Omsorgsarbeider";"55-66 år";"Menn";70;92;99;107;115;114;121;135;132;139;143;143;151;158;169;192
"Sysselsatte";"Apotektekniker";"Alle aldre";"Kvinner";4765;4747;4744;4815;4869;4930;4950;4949;5019;5096;5111;5145;5041;5124;5165;5115
"Sysselsatte";"Apotektekniker";"Alle aldre";"Menn";163;164;159;169;174;173;184;184;199;221;238;251;266;304;335;341
"Sysselsatte";"Apotektekniker";"15-39 år";"Kvinner";2306;2182;2092;2038;1985;1966;1974;2002;2065;2152;2152;2150;2077;2115;2122;2047
"Sysselsatte";"Apotektekniker";"15-39 år";"Menn";102;103;94;100;104;102;110;108;119;135;142;148;161;194;219;217
"Sysselsatte";"Apotektekniker";"15-66 år";"Kvinner";4753;4732;4718;4777;4821;4884;4903;4893;4958;5031;5047;5072;4969;5039;5062;5014
"Sysselsatte";"Apotektekniker";"15-66 år";"Menn";163;164;158;168;172;173;181;181;196;218;235;248;263;301;332;338
"Sysselsatte";"Apotektekniker";"15-74 år";"Kvinner";4765;4747;4744;4815;4869;4930;4950;4946;5016;5093;5106;5139;5036;5120;5156;5106
"Sysselsatte";"Apotektekniker";"15-74 år";"Menn";163;164;159;169;174;173;184;184;199;221;238;251;266;304;335;338
"Sysselsatte";"Apotektekniker";"40-54 år";"Kvinner";1784;1862;1912;1968;2030;2090;2056;1982;1936;1879;1890;1880;1827;1850;1867;1867
"Sysselsatte";"Apotektekniker";"40-54 år";"Menn";43;44;49;51;52;58;58;60;62;64;74;81;80;81;84;88
"Sysselsatte";"Apotektekniker";"55-66 år";"Kvinner";663;688;714;771;806;828;873;909;957;1000;1005;1042;1065;1074;1073;1100
"Sysselsatte";"Apotektekniker";"55-66 år";"Menn";18;17;15;17;16;13;13;13;15;19;19;19;22;26;29;33
"Sysselsatte";"Fotterapeut";"Alle aldre";"Kvinner";1710;1720;1711;1743;1796;1807;1827;1837;1845;1852;1853;1829;1831;1835;1847;1853
"Sysselsatte";"Fotterapeut";"Alle aldre";"Menn";37;36;34;36;34;36;34;40;40;41;45;42;44;41;43;43
"Sysselsatte";"Fotterapeut";"15-39 år";"Kvinner";841;792;732;674;608;543;515;462;429;400;371;343;320;323;301;309
"Sysselsatte";"Fotterapeut";"15-39 år";"Menn";15;14;10;11;8;8;9;10;7;4;9;8;9;8;7;7
"Sysselsatte";"Fotterapeut";"15-66 år";"Kvinner";1692;1697;1690;1717;1763;1763;1784;1781;1779;1775;1778;1748;1741;1744;1725;1725
"Sysselsatte";"Fotterapeut";"15-66 år";"Menn";37;36;34;35;33;35;32;37;37;38;42;42;41;38;40;40
"Sysselsatte";"Fotterapeut";"15-74 år";"Kvinner";1709;1719;1711;1741;1793;1807;1827;1834;1842;1849;1850;1826;1826;1831;1833;1839
"Sysselsatte";"Fotterapeut";"15-74 år";"Menn";37;36;34;36;34;36;34;40;40;41;45;42;44;38;43;43
"Sysselsatte";"Fotterapeut";"40-54 år";"Kvinner";642;670;697;754;841;894;913;940;948;937;951;922;926;902;886;868
"Sysselsatte";"Fotterapeut";"40-54 år";"Menn";17;16;17;19;18;19;16;18;21;23;22;21;21;18;21;17
"Sysselsatte";"Fotterapeut";"55-66 år";"Kvinner";209;235;261;289;314;326;356;379;402;438;456;483;495;519;538;548
"Sysselsatte";"Fotterapeut";"55-66 år";"Menn";5;6;7;5;7;8;7;9;9;11;11;13;11;12;12;16
"Sysselsatte";"Barne- og ungdomsarbeidere";"Alle aldre";"Kvinner";12891;13639;14711;15842;17112;18273;19481;21181;23050;24958;26634;28261;29937;31378;32622;33493
"Sysselsatte";"Barne- og ungdomsarbeidere";"Alle aldre";"Menn";845;965;1053;1177;1304;1451;1616;1826;2112;2395;2723;3094;3462;3919;4429;4856
"Sysselsatte";"Barne- og ungdomsarbeidere";"15-39 år";"Kvinner";7553;7803;8223;8679;9151;9596;10060;10735;11396;12142;12435;12829;13165;13586;13928;14204
"Sysselsatte";"Barne- og ungdomsarbeidere";"15-39 år";"Menn";590;648;695;755;838;928;1015;1157;1339;1524;1711;1927;2151;2463;2755;3030
"Sysselsatte";"Barne- og ungdomsarbeidere";"15-66 år";"Kvinner";12872;13623;14683;15799;17066;18211;19405;21070;22923;24819;26478;28084;29759;31166;32350;33129
"Sysselsatte";"Barne- og ungdomsarbeidere";"15-66 år";"Menn";844;964;1052;1175;1301;1447;1611;1822;2108;2389;2714;3083;3444;3902;4400;4826
"Sysselsatte";"Barne- og ungdomsarbeidere";"15-74 år";"Kvinner";12891;13639;14711;15842;17112;18271;19481;21178;23046;24954;26630;28253;29932;31371;32610;33477
"Sysselsatte";"Barne- og ungdomsarbeidere";"15-74 år";"Menn";845;965;1053;1177;1304;1451;1616;1826;2112;2395;2723;3094;3462;3919;4426;4853
"Sysselsatte";"Barne- og ungdomsarbeidere";"40-54 år";"Kvinner";4161;4438;4832;5221;5744;6128;6555;7199;7954;8762;9802;10673;11672;12292;12866;13115
"Sysselsatte";"Barne- og ungdomsarbeidere";"40-54 år";"Menn";218;276;308;354;386;429;483;531;613;682;802;908;1022;1135;1291;1394
"Sysselsatte";"Barne- og ungdomsarbeidere";"55-66 år";"Kvinner";1158;1382;1628;1899;2171;2487;2790;3136;3573;3915;4241;4582;4922;5288;5556;5810
"Sysselsatte";"Barne- og ungdomsarbeidere";"55-66 år";"Menn";36;40;49;66;77;90;113;134;156;183;201;248;271;304;354;402
"Sysselsatte";"Tannhelsesekretær";"Alle aldre";"Kvinner";5033;4992;5030;5059;5025;5041;5008;4962;4972;4932;4996;4991;4922;4899;4992;5050
"Sysselsatte";"Tannhelsesekretær";"Alle aldre";"Menn";16;17;20;20;24;25;27;30;38;40;44;50;62;65;61;71
"Sysselsatte";"Tannhelsesekretær";"15-39 år";"Kvinner";1557;1480;1411;1352;1315;1309;1286;1280;1307;1344;1429;1458;1506;1506;1584;1617
"Sysselsatte";"Tannhelsesekretær";"15-39 år";"Menn";12;13;16;16;19;20;22;24;31;33;35;37;48;55;44;53
"Sysselsatte";"Tannhelsesekretær";"15-66 år";"Kvinner";4989;4931;4948;4957;4921;4931;4907;4842;4845;4806;4864;4854;4790;4745;4810;4827
"Sysselsatte";"Tannhelsesekretær";"15-66 år";"Menn";16;17;20;20;24;25;27;30;38;40;44;50;62;65;61;71
"Sysselsatte";"Tannhelsesekretær";"15-74 år";"Kvinner";5033;4992;5029;5057;5023;5039;5005;4956;4966;4927;4987;4977;4914;4886;4974;5032
"Sysselsatte";"Tannhelsesekretær";"15-74 år";"Menn";16;17;20;20;24;25;27;30;38;40;44;50;62;65;61;71
"Sysselsatte";"Tannhelsesekretær";"40-54 år";"Kvinner";2352;2299;2306;2281;2211;2172;2117;2043;2017;1891;1842;1810;1713;1702;1714;1711
"Sysselsatte";"Tannhelsesekretær";"40-54 år";"Menn";4;4;4;3;4;4;4;3;4;4;6;10;11;10;14;15
"Sysselsatte";"Tannhelsesekretær";"55-66 år";"Kvinner";1080;1152;1231;1324;1395;1450;1504;1519;1521;1571;1593;1586;1571;1537;1512;1499
"Sysselsatte";"Tannhelsesekretær";"55-66 år";"Menn";..;..;..;..;..;..;..;3;3;3;3;3;3;0;3;3
"Sysselsatte";"Aktivitør";"Alle aldre";"Kvinner";4093;4007;3936;3889;3848;3734;3657;3542;3410;3298;3111;2925;2707;2580;2429;2302
"Sysselsatte";"Aktivitør";"Alle aldre";"Menn";68;69;69;69;67;70;73;65;67;65;68;65;61;59;59;54
"Sysselsatte";"Aktivitør";"15-39 år";"Kvinner";1297;1176;1080;1012;945;841;756;697;639;593;484;397;314;272;226;188
"Sysselsatte";"Aktivitør";"15-39 år";"Menn";28;21;23;22;24;24;19;19;19;16;16;13;12;11;11;9
"Sysselsatte";"Aktivitør";"15-66 år";"Kvinner";4073;3981;3897;3841;3790;3664;3579;3436;3303;3194;2986;2774;2564;2422;2251;2093
"Sysselsatte";"Aktivitør";"15-66 år";"Menn";68;69;69;69;67;70;73;65;64;62;65;62;58;56;56;50
"Sysselsatte";"Aktivitør";"15-74 år";"Kvinner";4092;4006;3935;3888;3846;3732;3655;3539;3406;3295;3108;2921;2699;2563;2408;2279
"Sysselsatte";"Aktivitør";"15-74 år";"Menn";68;69;69;69;67;70;73;65;67;65;68;65;61;59;59;54
"Sysselsatte";"Aktivitør";"40-54 år";"Kvinner";1962;1873;1802;1726;1676;1588;1524;1421;1346;1271;1205;1165;1116;1070;1011;947
"Sysselsatte";"Aktivitør";"40-54 år";"Menn";30;36;33;31;25;28;34;30;31;32;31;28;26;25;22;23
"Sysselsatte";"Aktivitør";"55-66 år";"Kvinner";814;932;1015;1103;1169;1235;1299;1318;1318;1330;1297;1212;1134;1080;1014;958
"Sysselsatte";"Aktivitør";"55-66 år";"Menn";10;12;13;16;18;18;20;16;14;14;18;21;20;20;23;18
"Sysselsatte";"Annen videregående helseutdanning";"Alle aldre";"Kvinner";2902;3702;4299;5106;5990;6510;6852;8885;8603;9943;10974;11673;12418;13159;13873;14814
"Sysselsatte";"Annen videregående helseutdanning";"Alle aldre";"Menn";2850;3042;3222;3335;3575;3694;3791;4391;4454;4603;4803;5077;5394;5628;5513;5567
"Sysselsatte";"Annen videregående helseutdanning";"15-39 år";"Kvinner";1068;2522;2995;3632;4349;4783;5104;5916;5615;6166;6746;7119;7486;8012;8400;8987
"Sysselsatte";"Annen videregående helseutdanning";"15-39 år";"Menn";1147;1248;1306;1302;1361;1383;1407;1694;1680;1704;1771;1890;2089;2215;2122;2134
"Sysselsatte";"Annen videregående helseutdanning";"15-66 år";"Kvinner";2872;3688;4278;5078;5964;6471;6814;8784;8508;9839;10868;11541;12297;13020;13719;14636
"Sysselsatte";"Annen videregående helseutdanning";"15-66 år";"Menn";2824;3010;3186;3295;3509;3620;3706;4294;4351;4487;4667;4929;5244;5466;5333;5380
"Sysselsatte";"Annen videregående helseutdanning";"15-74 år";"Kvinner";2902;3702;4299;5105;5989;6509;6851;8879;8597;9939;10963;11663;12406;13147;13845;14784
"Sysselsatte";"Annen videregående helseutdanning";"15-74 år";"Menn";2848;3041;3221;3334;3574;3693;3786;4387;4449;4597;4793;5068;5384;5613;5484;5542
"Sysselsatte";"Annen videregående helseutdanning";"40-54 år";"Kvinner";1068;790;899;1041;1157;1224;1211;1859;1876;2634;2959;3183;3492;3642;3856;4079
"Sysselsatte";"Annen videregående helseutdanning";"40-54 år";"Menn";1261;1325;1403;1503;1582;1620;1656;1874;1916;1986;2025;2073;2105;2117;2069;2017
"Sysselsatte";"Annen videregående helseutdanning";"55-66 år";"Kvinner";736;376;384;405;458;464;499;1009;1017;1039;1163;1239;1319;1366;1463;1570
"Sysselsatte";"Annen videregående helseutdanning";"55-66 år";"Menn";416;437;477;490;566;617;643;726;755;797;871;966;1050;1134;1142;1229
"Sysselsatte";"Ergoterapeut";"Alle aldre";"Kvinner";3221;3300;3400;3559;3637;3809;3907;4015;4135;4267;4401;4540;4635;4792;4944;5057
"Sysselsatte";"Ergoterapeut";"Alle aldre";"Menn";358;380;409;445;477;496;528;555;585;617;665;700;734;783;834;884
"Sysselsatte";"Ergoterapeut";"15-39 år";"Kvinner";1707;1741;1778;1871;1893;1951;1984;2029;2082;2141;2200;2231;2255;2304;2345;2403
"Sysselsatte";"Ergoterapeut";"15-39 år";"Menn";242;257;274;292;298;300;314;323;347;353;391;412;438;461;491;519
"Sysselsatte";"Ergoterapeut";"15-66 år";"Kvinner";3207;3282;3371;3530;3603;3766;3864;3967;4083;4214;4348;4479;4580;4713;4850;4952
"Sysselsatte";"Ergoterapeut";"15-66 år";"Menn";356;378;409;445;477;496;527;552;582;614;665;697;734;783;830;878
"Sysselsatte";"Ergoterapeut";"15-74 år";"Kvinner";3221;3299;3399;3559;3637;3809;3904;4011;4132;4264;4393;4537;4632;4783;4923;5035
"Sysselsatte";"Ergoterapeut";"15-74 år";"Menn";358;379;409;445;477;496;528;555;585;617;665;700;734;783;834;884
"Sysselsatte";"Ergoterapeut";"40-54 år";"Kvinner";1050;1064;1085;1112;1132;1213;1237;1262;1287;1344;1395;1487;1562;1650;1748;1801
"Sysselsatte";"Ergoterapeut";"40-54 år";"Menn";105;110;117;131;151;165;173;184;186;209;221;231;239;264;277;291
"Sysselsatte";"Ergoterapeut";"55-66 år";"Kvinner";450;477;508;547;578;602;643;676;714;729;753;761;763;759;757;748
"Sysselsatte";"Ergoterapeut";"55-66 år";"Menn";9;11;18;22;28;31;40;45;49;52;53;54;57;58;62;68
"Sysselsatte";"Fysioterapeut";"Alle aldre";"Kvinner";7310;7458;7661;7793;7907;8108;8238;8544;8721;8901;8968;9083;9172;9307;9416;9263
"Sysselsatte";"Fysioterapeut";"Alle aldre";"Menn";3064;3165;3269;3402;3441;3514;3641;3851;3967;4054;4140;4200;4282;4376;4458;4068
"Sysselsatte";"Fysioterapeut";"15-39 år";"Kvinner";3319;3418;3566;3595;3660;3770;3797;3878;3951;4015;3944;3876;3874;3877;3877;3797
"Sysselsatte";"Fysioterapeut";"15-39 år";"Menn";1424;1447;1442;1479;1488;1490;1530;1581;1632;1635;1663;1684;1716;1742;1804;1705
"Sysselsatte";"Fysioterapeut";"15-66 år";"Kvinner";7140;7270;7463;7578;7679;7841;7944;8195;8357;8515;8583;8674;8783;8902;8941;8769
"Sysselsatte";"Fysioterapeut";"15-66 år";"Menn";3031;3123;3218;3337;3370;3424;3526;3698;3795;3846;3895;3925;3989;4062;4111;3730
"Sysselsatte";"Fysioterapeut";"15-74 år";"Kvinner";7305;7455;7652;7783;7898;8103;8232;8527;8707;8881;8956;9058;9153;9284;9347;9184
"Sysselsatte";"Fysioterapeut";"15-74 år";"Menn";3063;3164;3269;3400;3437;3513;3639;3847;3963;4051;4134;4188;4273;4367;4431;4023
"Sysselsatte";"Fysioterapeut";"40-54 år";"Kvinner";2273;2262;2228;2242;2277;2321;2390;2534;2633;2773;2943;3144;3281;3401;3508;3459
"Sysselsatte";"Fysioterapeut";"40-54 år";"Menn";1003;1008;1061;1096;1090;1112;1164;1234;1289;1364;1425;1457;1520;1585;1593;1411
"Sysselsatte";"Fysioterapeut";"55-66 år";"Kvinner";1548;1590;1669;1741;1742;1750;1757;1783;1773;1727;1696;1654;1628;1624;1556;1513
"Sysselsatte";"Fysioterapeut";"55-66 år";"Menn";604;668;715;762;792;822;832;883;874;847;807;784;753;735;714;614
"Sysselsatte";"Helsesykepleier og jordmor";"Alle aldre";"Kvinner";6471;6772;6730;7048;7171;7363;7488;7646;7768;7865;7874;7989;8084;8337;8481;8498
"Sysselsatte";"Helsesykepleier og jordmor";"Alle aldre";"Menn";24;27;29;30;30;32;34;33;31;35;37;34;34;34;45;48
"Sysselsatte";"Helsesykepleier og jordmor";"15-39 år";"Kvinner";1207;1304;1291;1420;1460;1534;1501;1525;1519;1535;1520;1554;1671;1705;1831;1875
"Sysselsatte";"Helsesykepleier og jordmor";"15-39 år";"Menn";9;9;8;5;4;3;3;3;0;3;4;5;6;10;12;12
"Sysselsatte";"Helsesykepleier og jordmor";"15-66 år";"Kvinner";6323;6594;6560;6871;6973;7157;7271;7404;7505;7599;7609;7704;7785;7844;7964;8017
"Sysselsatte";"Helsesykepleier og jordmor";"15-66 år";"Menn";24;27;29;30;30;32;33;33;28;32;34;31;31;34;42;45
"Sysselsatte";"Helsesykepleier og jordmor";"15-74 år";"Kvinner";6461;6764;6724;7044;7162;7357;7479;7628;7748;7852;7860;7970;8061;8299;8431;8442
"Sysselsatte";"Helsesykepleier og jordmor";"15-74 år";"Menn";24;27;29;30;30;32;34;33;31;35;37;34;34;34;42;45
"Sysselsatte";"Helsesykepleier og jordmor";"40-54 år";"Kvinner";3281;3292;3165;3232;3241;3294;3362;3426;3481;3574;3588;3650;3655;3700;3785;3824
"Sysselsatte";"Helsesykepleier og jordmor";"40-54 år";"Menn";11;13;12;17;18;20;19;19;18;19;19;17;16;13;19;21
"Sysselsatte";"Helsesykepleier og jordmor";"55-66 år";"Kvinner";1835;1998;2104;2219;2272;2329;2408;2453;2505;2490;2501;2500;2459;2439;2348;2318
"Sysselsatte";"Helsesykepleier og jordmor";"55-66 år";"Menn";4;5;9;8;8;9;11;11;10;10;11;9;9;11;11;12
"Sysselsatte";"Radiograf";"Alle aldre";"Kvinner";1965;2088;2122;2241;2315;2381;2479;2555;2624;2708;2768;2850;2918;3007;3084;3158
"Sysselsatte";"Radiograf";"Alle aldre";"Menn";787;810;854;871;912;945;987;1010;1034;1052;1082;1107;1124;1151;1166;1191
"Sysselsatte";"Radiograf";"15-39 år";"Kvinner";1076;1107;1102;1178;1217;1224;1286;1327;1363;1392;1399;1433;1431;1428;1440;1456
"Sysselsatte";"Radiograf";"15-39 år";"Menn";398;392;394;393;419;428;446;447;438;436;446;455;449;469;473;480
"Sysselsatte";"Radiograf";"15-66 år";"Kvinner";1963;2083;2114;2232;2308;2369;2465;2541;2601;2684;2747;2824;2895;2980;3044;3120
"Sysselsatte";"Radiograf";"15-66 år";"Menn";787;810;853;871;909;939;981;1003;1022;1041;1067;1090;1103;1125;1143;1162
"Sysselsatte";"Radiograf";"15-74 år";"Kvinner";1965;2088;2122;2241;2315;2381;2479;2555;2624;2708;2768;2850;2918;3004;3079;3154
"Sysselsatte";"Radiograf";"15-74 år";"Menn";787;810;854;871;912;945;987;1010;1034;1052;1082;1107;1124;1151;1166;1191
"Sysselsatte";"Radiograf";"40-54 år";"Kvinner";706;768;779;792;799;826;836;847;849;869;915;953;1016;1074;1109;1164
"Sysselsatte";"Radiograf";"40-54 år";"Menn";315;322;345;354;354;363;376;386;408;416;437;444;464;456;466;461
"Sysselsatte";"Radiograf";"55-66 år";"Kvinner";181;208;233;262;292;319;343;367;389;423;433;438;448;478;495;500
"Sysselsatte";"Radiograf";"55-66 år";"Menn";74;96;114;124;136;148;159;170;176;189;184;191;190;200;204;221
"Sysselsatte";"Sykepleier";"Alle aldre";"Kvinner";77133;79693;80753;82114;84054;86211;88075;90324;91995;93637;93842;95510;96727;99107;100113;101484
"Sysselsatte";"Sykepleier";"Alle aldre";"Menn";9439;9877;10085;10271;10508;10749;11095;11308;11580;11833;11851;12223;12459;12865;13242;13578
"Sysselsatte";"Sykepleier";"15-39 år";"Kvinner";32141;32872;33096;33427;33901;34368;34824;35671;36325;37168;37677;38556;39469;40458;41230;42335
"Sysselsatte";"Sykepleier";"15-39 år";"Menn";3998;4044;3995;3917;3888;3824;3781;3732;3820;3871;3874;4079;4244;4484;4694;4928
"Sysselsatte";"Sykepleier";"15-66 år";"Kvinner";76233;78724;79733;81002;82801;84833;86561;88553;90160;91764;91844;93394;94500;96292;97056;98227
"Sysselsatte";"Sykepleier";"15-66 år";"Menn";9387;9825;10020;10193;10428;10654;10990;11187;11433;11655;11646;11964;12164;12467;12746;13045
"Sysselsatte";"Sykepleier";"15-74 år";"Kvinner";77102;79660;80720;82067;84002;86161;88018;90208;91891;93526;93714;95373;96567;98921;99791;101122
"Sysselsatte";"Sykepleier";"15-74 år";"Menn";9438;9875;10083;10268;10503;10741;11090;11304;11576;11828;11842;12212;12444;12845;13212;13539
"Sysselsatte";"Sykepleier";"40-54 år";"Kvinner";31547;32204;32109;32109;32505;33161;33705;34134;34511;34700;34336;34499;34544;34964;34974;34803
"Sysselsatte";"Sykepleier";"40-54 år";"Menn";4195;4370;4386;4445;4496;4617;4842;4989;5068;5149;5130;5219;5221;5234;5261;5223
"Sysselsatte";"Sykepleier";"55-66 år";"Kvinner";12545;13648;14528;15466;16395;17304;18032;18748;19324;19896;19831;20339;20487;20870;20852;21089
"Sysselsatte";"Sykepleier";"55-66 år";"Menn";1194;1411;1639;1831;2044;2213;2367;2466;2545;2635;2642;2666;2699;2749;2791;2894
"Sysselsatte";"Vernepleier";"Alle aldre";"Kvinner";8936;9372;9881;10353;10816;11311;11792;12308;12871;13351;13761;14168;14623;15106;15571;16016
"Sysselsatte";"Vernepleier";"Alle aldre";"Menn";2420;2564;2662;2743;2876;3013;3133;3245;3356;3467;3599;3728;3862;4013;4209;4373
"Sysselsatte";"Vernepleier";"15-39 år";"Kvinner";4624;4692;4857;4989;5066;5192;5298;5514;5641;5797;5908;6028;6235;6495;6744;7004
"Sysselsatte";"Vernepleier";"15-39 år";"Menn";1054;1076;1085;1060;1083;1117;1134;1157;1190;1235;1295;1343;1408;1495;1601;1670
"Sysselsatte";"Vernepleier";"15-66 år";"Kvinner";8909;9346;9843;10313;10775;11259;11728;12221;12767;13228;13624;14008;14444;14895;15331;15712
"Sysselsatte";"Vernepleier";"15-66 år";"Menn";2413;2554;2650;2733;2862;3000;3114;3219;3316;3417;3539;3662;3780;3916;4093;4240
"Sysselsatte";"Vernepleier";"15-74 år";"Kvinner";8936;9372;9881;10352;10815;11307;11788;12303;12868;13348;13756;14163;14620;15100;15558;15994
"Sysselsatte";"Vernepleier";"15-74 år";"Menn";2420;2564;2662;2743;2876;3012;3133;3245;3356;3467;3599;3728;3859;4013;4205;4370
"Sysselsatte";"Vernepleier";"40-54 år";"Kvinner";3437;3679;3883;4067;4309;4506;4695;4840;5083;5284;5455;5618;5759;5859;5926;5901
"Sysselsatte";"Vernepleier";"40-54 år";"Menn";1044;1110;1144;1220;1285;1348;1409;1461;1505;1559;1612;1666;1692;1723;1725;1724
"Sysselsatte";"Vernepleier";"55-66 år";"Kvinner";848;975;1103;1257;1400;1561;1735;1867;2043;2147;2261;2362;2450;2541;2661;2807
"Sysselsatte";"Vernepleier";"55-66 år";"Menn";315;368;421;453;494;535;571;601;621;623;632;653;680;698;767;846
"Sysselsatte";"Tannpleier";"Alle aldre";"Kvinner";1127;1154;1188;1244;1265;1319;1326;1383;1431;1457;1484;1533;1544;1583;1624;1660
"Sysselsatte";"Tannpleier";"Alle aldre";"Menn";15;16;15;15;13;15;16;20;24;24;29;34;42;46;46;44
"Sysselsatte";"Tannpleier";"15-39 år";"Kvinner";503;497;523;541;548;575;567;596;613;624;630;671;692;731;775;802
"Sysselsatte";"Tannpleier";"15-39 år";"Menn";10;10;10;10;9;9;11;15;15;16;19;22;28;27;26;26
"Sysselsatte";"Tannpleier";"15-66 år";"Kvinner";1124;1148;1181;1231;1251;1302;1303;1353;1402;1424;1455;1505;1513;1555;1596;1621
"Sysselsatte";"Tannpleier";"15-66 år";"Menn";15;16;15;13;12;15;16;20;24;24;29;34;42;46;43;44
"Sysselsatte";"Tannpleier";"15-74 år";"Kvinner";1127;1154;1188;1243;1265;1319;1326;1383;1431;1454;1481;1533;1544;1580;1619;1653
"Sysselsatte";"Tannpleier";"15-74 år";"Menn";15;16;15;15;13;15;16;20;24;24;29;34;42;46;43;44
"Sysselsatte";"Tannpleier";"40-54 år";"Kvinner";460;463;440;448;436;439;442;452;461;467;484;494;507;518;524;531
"Sysselsatte";"Tannpleier";"40-54 år";"Menn";..;..;..;..;3;5;4;5;6;8;10;12;14;16;17;15
"Sysselsatte";"Tannpleier";"55-66 år";"Kvinner";161;188;218;242;267;288;294;305;328;333;341;340;314;306;297;288
"Sysselsatte";"Tannpleier";"55-66 år";"Menn";..;4;3;..;..;..;..;0;3;0;0;0;0;3;0;3
